LifeStage,ESU,MA,Stratum,CohoGrpID,PopGrp,SiteID,ReachID,Segment,ID_Num,COMID,Reach,Start,End_,Tribof,JuvYr,Juv/km,status,STRM_ORDER,StrmSlope,MaxGradD,WidthM,OUT_DIST,CLASS_Rank,StrmPow,MAnnSed,Barriers,SolMean,MWMT_Index,W3Dppt,SprPpt,IP_COHO,UTM_E,UTM_N
rear,OC,1-NC,North Coast,2,Nehalem,1273,0,0,1273,23872445,,,,,1998,13,Snorkeled,4,0.02975505,0.160879999,8.767000198,96.5029984,1,446.1010132,571074,6,1498.177124,16.68309593,187.3399963,277.8900146,0.763999,459640,5093908
rear,OC,1-NC,North Coast,2,Nehalem,1273,0,0,1273,23872445,,,,,2007,536,Snorkeled,4,0.02975505,0.160879999,8.767000198,96.5029984,1,446.1010132,571074,6,1498.177124,16.61232567,123.5199966,226.8000031,0.763999,459640,5093908
rear,OC,1-NC,North Coast,2,Nehalem,16154,0,0,16154,23872131,,,,,2007,120,Snorkeled,6,0.00292409,0.160879999,23.30400085,159.0839996,2,2043.338989,607922,7,1796.233643,24.21400833,59.50999832,99.98999786,0.989328,483298,5076699
rear,OC,1-NC,North Coast,2,Nehalem,16300,0,0,16300,23872137,,,,,2008,25,Snorkeled,6,0.0017816,0.160879999,20.72100067,172.1670074,2,417.8420105,120263,8,1829.629639,21.86358452,208.2599945,99.66999817,0.979796,478368,5071875
rear,OC,1-NC,North Coast,2,Nehalem,20241,0,0,20241,23872135,,,,,2008,88,Snorkeled,6,0.00133244,0.160879999,22.37100029,170.7839966,2,1240.119995,607922,7,1794.093506,22.1889801,187.4199982,91.44000244,0.91998,478097,5072756
rear,OC,1-NC,North Coast,2,Nehalem,20995,0,0,20995,23871927,,,,,2012,265,Snorkeled,6,0.02241982,0.160879999,19.19499969,56.7120018,1,4114.057129,1322971.5,7,1595.840088,16.51188278,178.9199982,418.9100037,0.559649,459502,5062600
rear,OC,1-NC,North Coast,2,Nehalem,17361,25835,2,17361,23872971,Bob's Cr,Mouth,Headwaters,Nehalem R,2012,106,Snorkeled,3,0.035144258,0.054900002,5.622000217,14.1490002,1,1977.647949,142585200,3,1280.220337,17.38677025,118.2099991,312.5299988,0.505,430134,5065308
rear,OC,1-NC,North Coast,2,Nehalem,21015,25838,2,21015,23872985,Anderson Cr,Mouth,Anderson Cr. Trib A,"Nehalem R, N Fk",2012,57,Snorkeled,4,0.065099649,0.0704,7.552999973,15.7250004,1,2072.680908,1696875,3,1498.338013,16.772686,118.2099991,312.5299988,0.2678125,430803,5066511
rear,OC,1-NC,North Coast,2,Nehalem,922,25846,1,922,23872775,Gravel Cr,Mouth,Headwaters,"Nehalem R, N Fk",1999,0,Snorkeled,4,0.063874647,0.03145,7.81400013,16.7900009,1,689.3969727,1696875,2,1290.065063,15.51069832,219.4600067,273.25,0.893,434770,5066445
rear,OC,1-NC,North Coast,2,Nehalem,929,25849,3,929,23872711,Rackheap Cr,Mouth,Headwaters,Big Rackheap Cr,2004,0,Snorkeled,3,0.060013901,0.29460001,4.137000084,21.1889992,1,2130.300049,1696875,2,1815.47644,20.02502632,229.8399963,324.3299866,0.2678125,437414,5068501
rear,OC,1-NC,North Coast,2,Nehalem,929,25849,3,929,23872711,Rackheap Cr,Mouth,Headwaters,Big Rackheap Cr,2007,0,Snorkeled,3,0.060013901,0.29460001,4.137000084,21.1889992,1,2130.300049,1696875,2,1815.47644,19.72187424,174.3099976,256.9899902,0.2678125,437414,5068501
rear,OC,1-NC,North Coast,2,Nehalem,929,25849,3,929,23872711,Rackheap Cr,Mouth,Headwaters,Big Rackheap Cr,2010,1,Snorkeled,3,0.060013901,0.29460001,4.137000084,21.1889992,1,2130.300049,1696875,2,1815.47644,17.52349281,129.0299988,637.2199707,0.2678125,437414,5068501
rear,OC,1-NC,North Coast,2,Nehalem,929,25849,3,929,23872711,Rackheap Cr,Mouth,Headwaters,Big Rackheap Cr,2013,0,Snorkeled,3,0.060013901,0.29460001,4.137000084,21.1889992,1,2130.300049,1696875,2,1815.47644,18.37335396,178.1699982,594.9699707,0.2678125,437414,5068501
rear,OC,1-NC,North Coast,2,Nehalem,931,25850,2,931,23872735,Big Rackheap Cr,Rackheap Cr,Headwaters,"Nehalem R, N Fk",2005,0,Snorkeled,4,0.033240698,0.12032,8.277000427,20.6270008,1,1552.728027,1696875,2,1497.196167,18.25683594,202.0700073,474.9899902,0.2678125,436970,5066861
rear,OC,1-NC,North Coast,2,Nehalem,959,25868,1,959,23872595,Soapstone Cr,Jack Horner Cr,"Soapstone Cr, Trib A","Nehalem R, N Fk",2006,680,Snorkeled,5,0.01541577,0.110579997,11.21100044,33.5900002,1,985.2160034,2497450,3,1389.636963,19.21931267,211.8200073,240.5099945,0.719992,440355,5076494
rear,OC,1-NC,North Coast,2,Nehalem,969,25871,1,969,23872289,"Nehalem R, N Fk",Soapstone Cr,Sally Cr,Nehalem R,2012,0,Snorkeled,6,0.01240106,0.099380001,31.28700066,30.8869991,1,7388.525879,2497450,4,1506.515259,19.89157104,181.8999939,508.3099976,0.549454,440712,5072881
rear,OC,1-NC,North Coast,2,Nehalem,966,25871.69922,1,966,23872291,"Nehalem R, N Fk",Sally Cr,Gods Valley Cr,Nehalem R,1999,0,Snorkeled,6,0.00509702,0.103990003,30.70400047,33.4109993,1,1245.503052,2497450,4,1547.506958,19.31643867,335.8699951,354.4299927,0.450096,442745,5073176
rear,OC,1-NC,North Coast,2,Nehalem,966,25871.69922,1,966,23872291,"Nehalem R, N Fk",Sally Cr,Gods Valley Cr,Nehalem R,2002,0,Snorkeled,6,0.00509702,0.103990003,30.70400047,33.4109993,1,1245.503052,2497450,4,1547.506958,20.77625847,193,448.6099854,0.450096,442745,5073176
rear,OC,1-NC,North Coast,2,Nehalem,966,25871.69922,1,966,23872291,"Nehalem R, N Fk",Sally Cr,Gods Valley Cr,Nehalem R,2005,80,Snorkeled,6,0.00509702,0.103990003,30.70400047,33.4109993,1,1245.503052,2497450,4,1547.506958,20.93640709,203.5700073,468.7799988,0.450096,442745,5073176
rear,OC,1-NC,North Coast,2,Nehalem,966,25871.69922,1,966,23872291,"Nehalem R, N Fk",Sally Cr,Gods Valley Cr,Nehalem R,2011,0,Snorkeled,6,0.00509702,0.103990003,30.70400047,33.4109993,1,1245.503052,2497450,4,1547.506958,19.44578934,242.5,694.1699829,0.450096,442745,5073176
rear,OC,1-NC,North Coast,2,Nehalem,966,25871.69922,1,966,23872291,"Nehalem R, N Fk",Sally Cr,Gods Valley Cr,Nehalem R,2014,0,Snorkeled,6,0.00509702,0.103990003,30.70400047,33.4109993,1,1245.503052,2497450,4,1547.506958,22.13136673,207.3399963,536.2399902,0.450096,442745,5073176
rear,OC,1-NC,North Coast,2,Nehalem,977,25873,1,977,23872293,"Nehalem R, N Fk",Gods Valley Cr,Lost Cr,Nehalem R,2004,36,Snorkeled,6,0.00831398,0.103990003,28.50099945,34.5299988,1,208.3269958,2497450,3,1482.857788,21.40308189,232.1000061,311,0.895423,443355,5072979
rear,OC,1-NC,North Coast,2,Nehalem,977,25873,1,977,23872293,"Nehalem R, N Fk",Gods Valley Cr,Lost Cr,Nehalem R,2013,160,Snorkeled,6,0.00831398,0.103990003,28.50099945,34.5299988,1,208.3269958,2497450,3,1482.857788,20.14022255,169.8999939,556.3900146,0.895423,443355,5072979
rear,OC,1-NC,North Coast,2,Nehalem,980,25874,1,980,23872709,Lost Cr,Mouth,Headwaters,"Nehalem R, N Fk",2004,39,Snorkeled,4,0.050514329,0.126969993,8.781999588,35.8800011,1,1900.36499,2497450,3,1223.77002,18.64694977,265.4100037,357.8999939,0.444225,444242,5072179
rear,OC,1-NC,North Coast,2,Nehalem,978,25874,2,978,23872709,Lost Cr,Mouth,Headwaters,"Nehalem R, N Fk",1999,0,Snorkeled,4,0.050514329,0.126969993,6.738999844,38.4070015,1,1900.36499,2497450,3,1320.174561,16.16622543,384.1700134,399.2200012,0.764386,444041,5070162
rear,OC,1-NC,North Coast,2,Nehalem,978,25874,2,978,23872709,Lost Cr,Mouth,Headwaters,"Nehalem R, N Fk",2002,0,Snorkeled,4,0.050514329,0.126969993,6.738999844,38.4070015,1,1900.36499,2497450,3,1320.174561,17.4117775,227.3200073,520.8499756,0.764386,444041,5070162
rear,OC,1-NC,North Coast,2,Nehalem,1281,0,0,1281,23872237,,,,,1999,0,Snorkeled,5,0.00638913,0.160879999,22.88999939,84.961998,1,15637.27441,571074,9,1655.795898,18.96636009,189.1900024,246.6300049,0.972873,460599,5086617
rear,OC,1-NC,North Coast,2,Nehalem,1281,0,0,1281,23872237,,,,,2002,50,Snorkeled,5,0.00638913,0.160879999,22.88999939,84.961998,1,15637.27441,571074,9,1655.795898,20.69327164,109.2900009,300.480011,0.972873,460599,5086617
rear,OC,1-NC,North Coast,1,Necanicum,20055,0,0,20055,23871289,,,,,2007,524,Snorkeled,3,0.10635668,0.120109998,7.486000061,19.2040005,1,6297.553223,1025498,3,2049.428711,16.49018669,159.9600067,262.9700012,0.174195402,432599,5082840
rear,OC,1-NC,North Coast,1,Necanicum,20806,0,0,20806,23871267,,,,,2011,489,Snorkeled,4,0.059295591,0.09268,10.29199982,26.8549995,1,2160.909912,698935.5,2,1302.663574,15.70347118,245.4799957,847.7999878,0.907178,439224,5083949
rear,OC,1-NC,North Coast,1,Necanicum,1796,26193.5,1.1,1796,23871239,Neawanna Cr,Shangrila Cr,"Neawanna Cr, Trib A",Pacific Ocean,2004,8,Snorkeled,2,0.033115171,0.092940003,3.576999903,7.7340002,7,1818.656006,542948,3,1496.088013,20.77397728,153.8200073,299.3500061,0.586915385,430486,5091933
rear,OC,1-NC,North Coast,1,Necanicum,1796,26193.5,1.1,1796,23871239,Neawanna Cr,Shangrila Cr,"Neawanna Cr, Trib A",Pacific Ocean,2013,0,Snorkeled,2,0.033115171,0.092940003,3.576999903,7.7340002,7,1818.656006,542948,3,1496.088013,19.2406311,119.0299988,493.4100037,0.586915385,430486,5091933
rear,OC,1-NC,North Coast,1,Necanicum,1797,26193.5,1.1,1797,23871239,Neawanna Cr,Shangrila Cr,"Neawanna Cr, Trib A",Pacific Ocean,2006,40,Snorkeled,2,0.033115171,0.092940003,4.039999962,6.7420001,7,1818.656006,542948,3,1449.720337,18.28493118,158.0399933,259.9500122,0.586915385,429655,5092290
rear,OC,1-NC,North Coast,1,Necanicum,1805,26196,2,1805,23871243,Little Muddy Cr,Mouth,Headwaters,Necanicum R,2000,0,Snorkeled,3,0.05763486,0.122759998,3.983999968,7.8649998,7,4580.935059,542948,1,1135.783936,14.77447414,152,304.7399902,0.586915385,426784,5090809
rear,OC,1-NC,North Coast,1,Necanicum,1805,26196,2,1805,23871243,Little Muddy Cr,Mouth,Headwaters,Necanicum R,2001,0,Snorkeled,3,0.05763486,0.122759998,3.983999968,7.8649998,7,4580.935059,542948,1,1135.783936,13.32102394,43.00999832,316.2999878,0.586915385,426784,5090809
rear,OC,1-NC,North Coast,1,Necanicum,1805,26196,2,1805,23871243,Little Muddy Cr,Mouth,Headwaters,Necanicum R,2003,0,Snorkeled,3,0.05763486,0.122759998,3.983999968,7.8649998,7,4580.935059,542948,1,1135.783936,15.00086784,115.5699997,299.75,0.586915385,426784,5090809
rear,OC,1-NC,North Coast,1,Necanicum,1805,26196,2,1805,23871243,Little Muddy Cr,Mouth,Headwaters,Necanicum R,2004,0,Snorkeled,3,0.05763486,0.122759998,3.983999968,7.8649998,7,4580.935059,542948,1,1135.783936,15.67552185,130.1100006,236.0700073,0.586915385,426784,5090809
rear,OC,1-NC,North Coast,1,Necanicum,1805,26196,2,1805,23871243,Little Muddy Cr,Mouth,Headwaters,Necanicum R,2005,3,Snorkeled,3,0.05763486,0.122759998,3.983999968,7.8649998,7,4580.935059,542948,1,1135.783936,14.98728466,116.9700012,371.4100037,0.586915385,426784,5090809
rear,OC,1-NC,North Coast,1,Necanicum,1805,26196,2,1805,23871243,Little Muddy Cr,Mouth,Headwaters,Necanicum R,2006,19,Snorkeled,3,0.05763486,0.122759998,3.983999968,7.8649998,7,4580.935059,542948,1,1135.783936,13.93228817,131.3399963,225.1300049,0.586915385,426784,5090809
rear,OC,1-NC,North Coast,1,Necanicum,1805,26196,2,1805,23871243,Little Muddy Cr,Mouth,Headwaters,Necanicum R,2007,12,Snorkeled,3,0.05763486,0.122759998,3.983999968,7.8649998,7,4580.935059,542948,1,1135.783936,15.45818424,79.51999664,187.9700012,0.586915385,426784,5090809
rear,OC,1-NC,North Coast,1,Necanicum,1805,26196,2,1805,23871243,Little Muddy Cr,Mouth,Headwaters,Necanicum R,2008,2,Snorkeled,3,0.05763486,0.122759998,3.983999968,7.8649998,7,4580.935059,542948,1,1135.783936,13.84625816,160.8699951,236.7200012,0.586915385,426784,5090809
rear,OC,1-NC,North Coast,1,Necanicum,1805,26196,2,1805,23871243,Little Muddy Cr,Mouth,Headwaters,Necanicum R,2009,1,Snorkeled,3,0.05763486,0.122759998,3.983999968,7.8649998,7,4580.935059,542948,1,1135.783936,15.06878662,127.5899963,324.1799927,0.586915385,426784,5090809
rear,OC,1-NC,North Coast,1,Necanicum,1805,26196,2,1805,23871243,Little Muddy Cr,Mouth,Headwaters,Necanicum R,2010,11,Snorkeled,3,0.05763486,0.122759998,3.983999968,7.8649998,7,4580.935059,542948,1,1135.783936,13.76928425,66.56999969,446.980011,0.586915385,426784,5090809
rear,OC,1-NC,North Coast,1,Necanicum,1805,26196,2,1805,23871243,Little Muddy Cr,Mouth,Headwaters,Necanicum R,2011,5,Snorkeled,3,0.05763486,0.122759998,3.983999968,7.8649998,7,4580.935059,542948,1,1135.783936,13.91417694,95.19999695,444.230011,0.586915385,426784,5090809
rear,OC,1-NC,North Coast,1,Necanicum,1805,26196,2,1805,23871243,Little Muddy Cr,Mouth,Headwaters,Necanicum R,2012,5,Snorkeled,3,0.05763486,0.122759998,3.983999968,7.8649998,7,4580.935059,542948,1,1135.783936,14.20848942,136.0200043,366.8900146,0.586915385,426784,5090809
rear,OC,1-NC,North Coast,1,Necanicum,1805,26196,2,1805,23871243,Little Muddy Cr,Mouth,Headwaters,Necanicum R,2013,0,Snorkeled,3,0.05763486,0.122759998,3.983999968,7.8649998,7,4580.935059,542948,1,1135.783936,14.52091312,104.9000015,405.1400146,0.586915385,426784,5090809
rear,OC,1-NC,North Coast,1,Necanicum,1805,26196,2,1805,23871243,Little Muddy Cr,Mouth,Headwaters,Necanicum R,2014,0,Snorkeled,3,0.05763486,0.122759998,3.983999968,7.8649998,7,4580.935059,542948,1,1135.783936,15.37668228,92.61000061,411.5400085,0.586915385,426784,5090809
rear,OC,1-NC,North Coast,1,Necanicum,1807,26196,2,1807,23871153,Little Muddy Cr,Mouth,Headwaters,Necanicum R,2001,0,Snorkeled,6,0.00107599,0.033530001,31.80999947,5.8509998,1,1825.880981,542948,1,1665.436646,17.88974953,43.00999832,316.2999878,0.967,427557,5091377
rear,OC,1-NC,North Coast,1,Necanicum,17746,26200,3,17746,23871245,Williamson Cr,Mouth,"Williamson Cr, Trib A",Necanicum R,2007,0,Snorkeled,3,0.0269056,0.033530001,4.301000118,8.5319996,1,632.1099854,542948,3,1290.37915,18.84362793,79.51999664,187.9700012,0.834,428946,5089860
rear,OC,1-NC,North Coast,1,Necanicum,1829,26211,1,1829,23871261,Necanicum R,Volmer Cr,Klootchie Cr,Pacific Ocean,1999,41,Snorkeled,6,0.02086403,0.053320002,29.45199966,16.7460003,1,2443.009033,1025498,2,1681.103882,17.11922073,172.4400024,276.3999939,0.975,431486,5084636
rear,OC,1-NC,North Coast,1,Necanicum,1829,26211,1,1829,23871261,Necanicum R,Volmer Cr,Klootchie Cr,Pacific Ocean,2002,320,Snorkeled,6,0.02086403,0.053320002,29.45199966,16.7460003,1,2443.009033,1025498,2,1681.103882,18.51490021,112.5100021,325.230011,0.975,431486,5084636
rear,OC,1-NC,North Coast,1,Necanicum,1829,26211,1,1829,23871261,Necanicum R,Volmer Cr,Klootchie Cr,Pacific Ocean,2005,639,Snorkeled,6,0.02086403,0.053320002,29.45199966,16.7460003,1,2443.009033,1025498,2,1681.103882,18.72536087,137.2799988,367.1300049,0.975,431486,5084636
rear,OC,1-NC,North Coast,1,Necanicum,1833,26214,2,1833,23871255,Klootchie Cr,"Klootchie Cr, Trib A",Headwaters,Necanicum R,2000,78,Snorkeled,5,0.063312963,0.14091,8.736000061,21.4029999,1,3576.158936,1025498,2,2290.549561,16.27159691,221.5700073,522.2600098,0.174195402,433666,5087481
rear,OC,1-NC,North Coast,1,Necanicum,1833,26214,2,1833,23871255,Klootchie Cr,"Klootchie Cr, Trib A",Headwaters,Necanicum R,2009,165,Snorkeled,5,0.063312963,0.14091,8.736000061,21.4029999,1,3576.158936,1025498,2,2290.549561,17.08049965,142.8999939,336.8800049,0.174195402,433666,5087481
rear,OC,1-NC,North Coast,1,Necanicum,1843,26219,1,1843,23871171,Necanicum R,Mail Cr,"Necanicum R, S Fk",Pacific Ocean,2006,932,Snorkeled,6,0.00496321,0.09268,27.45100021,19.4150009,1,1074.607056,1025498,2,1597.994507,18.45650864,200.8000031,256.7999878,0.174195402,433273,5083647
rear,OC,1-NC,North Coast,1,Necanicum,1844,26220,1,1844,23871209,"Necanicum R, S Fk",Mouth,Brandis Cr,Necanicum R,2000,36,Snorkeled,5,0.018410889,0.09268,15.93400002,21.2950001,1,1368.237061,1025498,2,1615.265015,17.4127903,221.5700073,522.2600098,0.174195402,434196,5082974
rear,OC,1-NC,North Coast,1,Necanicum,1844,26220,1,1844,23871209,"Necanicum R, S Fk",Mouth,Brandis Cr,Necanicum R,2003,400,Snorkeled,5,0.018410889,0.09268,15.93400002,21.2950001,1,1368.237061,1025498,2,1615.265015,18.04172897,248.1399994,467.230011,0.174195402,434196,5082974
rear,OC,1-NC,North Coast,1,Necanicum,1844,26220,1,1844,23871209,"Necanicum R, S Fk",Mouth,Brandis Cr,Necanicum R,2009,410,Snorkeled,5,0.018410889,0.09268,15.93400002,21.2950001,1,1368.237061,1025498,2,1615.265015,18.17687225,218.3600006,583.3200073,0.174195402,434196,5082974
rear,OC,1-NC,North Coast,1,Necanicum,1844,26220,1,1844,23871209,"Necanicum R, S Fk",Mouth,Brandis Cr,Necanicum R,2012,40,Snorkeled,5,0.018410889,0.09268,15.93400002,21.2950001,1,1368.237061,1025498,2,1615.265015,16.89300537,175.5800018,563.6099854,0.174195402,434196,5082974
rear,OC,1-NC,North Coast,2,Nehalem,20632,25868,1,20632,23872595,Soapstone Cr,Jack Horner Cr,"Soapstone Cr, Trib A","Nehalem R, N Fk",2010,301,Snorkeled,5,0.01541577,0.110579997,11.42099953,32.9860001,1,985.2160034,2497450,3,1391.854736,18.06626892,140.5899963,593.8900146,0.941421,440152,5076093
rear,OC,1-NC,North Coast,2,Nehalem,969,25871,1,969,23872289,"Nehalem R, N Fk",Soapstone Cr,Sally Cr,Nehalem R,2000,0,Snorkeled,6,0.01240106,0.099380001,31.28700066,30.8869991,1,7388.525879,2497450,4,1506.515259,20.12711525,264.9700012,419.2399902,0.549454,440712,5072881
rear,OC,1-NC,North Coast,2,Nehalem,969,25871,1,969,23872289,"Nehalem R, N Fk",Soapstone Cr,Sally Cr,Nehalem R,2003,119,Snorkeled,6,0.01240106,0.099380001,31.28700066,30.8869991,1,7388.525879,2497450,4,1506.515259,21.20279694,293.3200073,406.5899963,0.549454,440712,5072881
rear,OC,1-NC,North Coast,2,Nehalem,969,25871,1,969,23872289,"Nehalem R, N Fk",Soapstone Cr,Sally Cr,Nehalem R,2006,1,Snorkeled,6,0.01240106,0.099380001,31.28700066,30.8869991,1,7388.525879,2497450,4,1506.515259,20.6928978,209.7400055,235.9799957,0.549454,440712,5072881
rear,OC,1-NC,North Coast,2,Nehalem,969,25871,1,969,23872289,"Nehalem R, N Fk",Soapstone Cr,Sally Cr,Nehalem R,2009,4,Snorkeled,6,0.01240106,0.099380001,31.28700066,30.8869991,1,7388.525879,2497450,4,1506.515259,21.88715172,278.75,490.1499939,0.549454,440712,5072881
rear,OC,1-NC,North Coast,2,Nehalem,978,25874,2,978,23872709,Lost Cr,Mouth,Headwaters,"Nehalem R, N Fk",2005,0,Snorkeled,4,0.050514329,0.126969993,6.738999844,38.4070015,1,1900.36499,2497450,3,1320.174561,17.52595329,237.1000061,527.5900269,0.764386,444041,5070162
rear,OC,1-NC,North Coast,2,Nehalem,978,25874,2,978,23872709,Lost Cr,Mouth,Headwaters,"Nehalem R, N Fk",2008,0,Snorkeled,4,0.050514329,0.126969993,6.738999844,38.4070015,1,1900.36499,2497450,3,1320.174561,16.94988441,149.9600067,427.8900146,0.764386,444041,5070162
rear,OC,1-NC,North Coast,2,Nehalem,978,25874,2,978,23872709,Lost Cr,Mouth,Headwaters,"Nehalem R, N Fk",2011,95,Snorkeled,4,0.050514329,0.126969993,6.738999844,38.4070015,1,1900.36499,2497450,3,1320.174561,16.04685974,309.3800049,850.2000122,0.764386,444041,5070162
rear,OC,1-NC,North Coast,2,Nehalem,978,25874,2,978,23872709,Lost Cr,Mouth,Headwaters,"Nehalem R, N Fk",2014,15,Snorkeled,4,0.050514329,0.126969993,6.738999844,38.4070015,1,1900.36499,2497450,3,1320.174561,18.76112556,219.8200073,638.7700195,0.764386,444041,5070162
rear,OC,1-NC,North Coast,2,Nehalem,979,25874,2,979,23872709,Lost Cr,Mouth,Headwaters,"Nehalem R, N Fk",2005,0,Snorkeled,4,0.050514329,0.126969993,7.475999832,37.4020004,1,1900.36499,2497450,3,1254.430054,17.52595329,237.1000061,527.5900269,0.506887,443981,5071014
rear,OC,1-NC,North Coast,2,Nehalem,979,25874,2,979,23872709,Lost Cr,Mouth,Headwaters,"Nehalem R, N Fk",2014,15,Snorkeled,4,0.050514329,0.126969993,7.475999832,37.4020004,1,1900.36499,2497450,3,1254.430054,18.76112556,219.8200073,638.7700195,0.506887,443981,5071014
rear,OC,1-NC,North Coast,2,Nehalem,996,25879.30078,1,996,23872621,"Nehalem R, N Fk, Trib R",Mouth,Headwaters,"Nehalem R, N Fk",2003,1,Snorkeled,4,0.06101875,0.103990003,10.54199982,42.4679985,1,1285.30603,1654233,3,1466.97998,18.01704788,322.3699951,440.9299927,0.550545,447405,5075112
